name,description,phone,link,worktime,address
"СМ-ПРОЕКТ, архитектурное бюро",Комплексное проектирование зданий. Интерьеры.,+7 (812) 647-09-05,http://www.sm-proekt.ru,Режим работы: Пн-Пт 09:00-18:00,"Выборгская набережная, 29-а, Б.Ц ""Система"", офис 410"
Архитектор Гуров,,+7 (911) 214-95-37,http://igor-gurov.ru,Режим работы: Ежедневно 09:00-19:00,"Спасский переулок, 6/8"
Архитектор Владимир Третьяков,,+7 (911) 160-01-82,http://vashmdom.ru,,"улица Константина Заслонова, 26"
АРХИТЕКТОР КРАСОТЫ,"полное оснащение салонов красоты, студий загара и СПА",+7 (812) 676-56-23,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Колпино, Пролетарская улица, 36"
АРХИТЕКТОР КРАСОТЫ,"полное оснащение салонов красоты, студий загара и СПА",+7 (812) 777-02-57,https://akrasoty.ru,Режим работы: Пн-Пт 10:00-19:00,"Балтийская улица, 17, к.2"
АРХИТЕКТОР КРАСОТЫ,"Инструменты и аксессуары для парикмахерских, оборудование для салонов красоты, профессиональные солярии и косметика для загара,
профессиональная косметика.",,https://akrasoty.ru,Режим работы: Пн-Пт 10:00-18:00,Сеть адресов
АРХИТЕКТОР КРАСОТЫ,"полное оснащение салонов красоты, студий загара и СПА",+7 (812) 459-96-53,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"площадь Александра Невского, 2, ТК ""Москва"""
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 272-24-94,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Кирочная улица, 25"
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-07-04,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Александровский парк, 4, ТРК ""Великан Парк"""
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-02-27,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"проспект Культуры, 41, ТРК «Северный молл»"
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-07-03,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Приморский проспект, 72, ТК ""Питерлэнд"""
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-02-28,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Заневский проспект, 71, к.1, лит.А, ТК ""Заневский каскад 3"""
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-02-29,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Лиговский проспект, 153, ТРК «Лиговъ»"
АРХИТЕКТОР КРАСОТЫ,"Сеть магазинов профессиональной косметики для волос, парикмахерского инструмента и оборудования для салонов красоты",+7 (812) 602-07-02,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"улица Савушкина, 126,  ТРК «Атлантик Сити»"
АРХИТЕКТОР КРАСОТЫ,,+7 (812) 387-16-46,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Московский проспект, 170"
АРХИТЕКТОР КРАСОТЫ,,+7 (812) 449-14-28,https://akrasoty.ru,Режим работы: Ежедневно 10:00-22:00,"Каменноостровский проспект, 45"
